FAST School of Computing TIME TABLE Spring 2022 <V2.6>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color Codes,,,,,BDS-2021,,, BDS-2020,,,BSE-2021,,,BSE-2020,,,BCS-2021,,,BCS-2020,,,BCS-2019,,,BCS-2018 ,,, BCS-2017,,,MDS-2021 ,,, MDS-2020,,,MSP-2021 ,,,MSP-2020 ,,,MCS-2021 ,,,MCS-2020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-1,,,,Islamic Studies/Ethics (BCS-2J),,,,,,,,,Differential Equations (BCS-2G),,,,,,,,,Communication & Presentation Skills (BCS-2C),,,,,,,,,,,,,,,,,,Pakistan Studies (BCS-2F),,,,,,,,,Pakistan Studies (BCS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,,,,Advanced Analysis of Algorithms (MCS-2A),,,,,,,,,,,,,,,,,,Communication & Presentation Skills (BDS-2D1),,,,,,,,,,,,,,,,,,Communication & Presentation Skills (BDS-2C2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-16,,,,,,,,,,,,,Differential Equations (BCS-2K),,,,,,,,,Communication & Presentation Skills (BDS-2D2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communication & Presentation Skills (BDS-2C1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-1,,,,Com & Pres Skills Lab (BSE-2B1),,,,,,,,,Com & Pres Skills Lab (BDS-2A1),,,,,,,,,Com & Pres Skills Lab (BSE-2C1),,,,,,,,,Com & Pres Skills Lab (BSE-2A1),,,,,,,,,Com & Pres Skills Lab (BCS-2K1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-2,,,,Com & Pres Skills Lab (BSE-2B2),,,,,,,,,Com & Pres Skills Lab (BDS-2A2),,,,,,,,,Com & Pres Skills Lab (BSE-2C2),,,,,,,,,Com & Pres Skills Lab (BSE-2A2),,,,,,,,,Com & Pres Skills Lab (BCS-2K2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-3,,,,Com & Pres Skills Lab (BCS-2L1),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2J1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-4,,,,Com & Pres Skills Lab (BCS-2L2),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2J2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artificial Intelligence Lab (BCS-6F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-2A),,,,Operating Systems Lab (BCS-4D),,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BCS-2E),,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BCS-2C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-2B),,,,,,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BSE-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,,,,,,,,,,,,,,,,,,Data Structures Lab (BSE-4C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
